season,week,team,season_type,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,offense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie,record,win_pct,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds
2021,11,ARI,REG,74,33,47,1,423,44,35,9,328,201,328,165,33,95,1,21,6,7,7,1,0,1,2,0,0,4,0,2,2,1,23,0,3,3,4,4,46,4,2,0,31,79,14,0.39,0.58,0,0,0,1,0,0,9,2,0,'9-2-0,0.818,201,201,35,2,44,5.35,4.568,0.756,1.257,0.795,0,0.045,7.45,0.045,7.45,4.57,9.37,0.03,2.88,112,5,0.04,751,6.71,62.45454545,22.36363636,36.27272727,1.636363636,398.3636364,31.63636364,23.72727273,7.909090909,275.3636364,240.4545455,274.5454545,132.7272727,30.63636364,123,2.090909091,12.81818182,7.545454545,5.272727273,6.818181818,0.818181818,0.363636364,1.636363636,1.818181818,0.090909091,0.727272727,1.909090909,0.181818182,0.727272727,1.181818182,0.272727273
2021,13,ARI,REG,50,18,21,5,260,15,11,4,123,58,123,82,35,137,5,6,7,5,6,1,1,2,2,0,0,2,0,0,2,0,33,0,3,2,4,5,17,2,0,0,35,52,11,0.67,0.33,0,0,0,1,0,0,10,2,0,'10-2-0,0.833,58,58,11,2,15,5,3.867,0.218,0.429,0.733,0,0.133,8.2,0.133,8.2,3.87,11.18,0.057,3.91,61,6,0.1,383,6.28,61.41666667,22,35,1.916666667,386.8333333,30.25,22.66666667,7.583333333,262.6666667,225.25,261.9166667,128.5,31,124.1666667,2.333333333,12.25,7.5,5.25,6.75,0.833333333,0.416666667,1.666666667,1.833333333,0.083333333,0.666666667,1.916666667,0.166666667,0.666666667,1.25,0.25
2021,14,ARI,REG,81,40,58,6,486,47,32,15,383,505,383,146,22,103,0,17,5,8,7,2,2,2,0,0,2,1,0,0,1,0,23,0,2,3,7,7,53,1,0,0,22,75,13,0.29,0.71,0,1,0,0,0,0,10,3,0,'10-3-0,0.769,505,505,32,0,47,6.48,10.745,1.898,1.343,0.681,0.043,0,8.15,0,8.15,10.74,11.97,0.091,4.68,101,2,0.02,869,8.6,62.92307692,23.38461538,36.76923077,2.230769231,394.4615385,31.53846154,23.38461538,8.153846154,271.9230769,246.7692308,271.2307692,129.8461538,30.30769231,122.5384615,2.153846154,12.61538462,7.307692308,5.461538462,6.769230769,0.923076923,0.538461538,1.692307692,1.692307692,0.076923077,0.769230769,1.846153846,0.153846154,0.615384615,1.230769231,0.230769231
2021,15,ARI,REG,74,34,54,1,418,49,29,20,313,335,313,170,21,105,0,16,6,7,8,1,2,0,1,0,1,1,0,0,1,0,12,0,0,2,7,3,53,3,1,0,20,74,12,0.27,0.72,0,0,0,0,1,0,10,4,0,'10-4-0,0.714,335,335,29,1,49,5.65,6.837,1.259,1.4,0.592,0.02,0.02,6.39,0.02,6.39,6.84,10.79,0,5,99,2,0.02,731,7.38,63.71428571,24.14285714,38,2.142857143,396.1428571,32.78571429,23.78571429,9,274.8571429,253.0714286,274.2142857,132.7142857,29.64285714,121.2857143,2,12.85714286,7.214285714,5.571428571,6.857142857,0.928571429,0.642857143,1.571428571,1.642857143,0.071428571,0.785714286,1.785714286,0.142857143,0.571428571,1.214285714,0.214285714
2021,16,ARI,REG,60,34,44,1,378,43,27,16,245,272,238,138,21,133,0,12,8,6,7,1,2,1,1,1,0,2,0,0,2,0,16,0,2,3,5,4,43,1,0,0,21,64,11,0.33,0.67,0,1,0,0,0,0,10,5,0,'10-5-0,0.667,272,272,27,1,43,5.91,6.326,1.023,1.229,0.628,0,0.023,5.7,0.023,5.53,6.33,8.81,0.048,6.33,91,3,0.03,616,6.77,63.46666667,24.8,38.4,2.066666667,394.9333333,33.46666667,24,9.466666667,272.8666667,254.3333333,271.8,133.0666667,29.06666667,122.0666667,1.866666667,12.8,7.266666667,5.6,6.866666667,0.933333333,0.733333333,1.533333333,1.6,0.133333333,0.733333333,1.8,0.133333333,0.533333333,1.266666667,0.2
2021,17,ARI,REG,63,21,42,3,413,39,27,12,286,358,286,114,32,127,2,12,9,7,9,2,0,0,2,0,0,0,0,0,0,0,25,0,1,4,4,7,41,3,3,0,29,73,12,0.4,0.56,0,0,0,1,0,0,11,5,0,'11-5-0,0.688,358,358,27,2,39,5.66,9.179,1.346,1.114,0.692,0,0.051,7.33,0.051,7.33,9.18,10.59,0,3.97,98,4,0.04,699,7.13,63.4375,24.5625,38.625,2.125,396.0625,33.8125,24.1875,9.625,273.6875,260.8125,272.6875,131.875,29.25,122.375,1.875,12.75,7.375,5.6875,7,1,0.6875,1.4375,1.625,0.125,0.6875,1.6875,0.125,0.5,1.1875,0.1875
2021,18,ARI,REG,74,41,48,5,358,39,28,11,240,252,240,141,28,118,2,10,9,9,9,1,1,1,1,0,0,1,1,1,1,0,24,0,3,3,7,8,44,3,0,0,28,72,16,0.39,0.61,0,1,0,0,0,0,11,6,0,'11-6-0,0.647,252,252,28,1,39,4.97,6.462,0.947,1.114,0.718,0,0.026,6.15,0.026,6.15,6.46,8.57,0.036,4.21,95,3,0.03,598,6.29,64.05882353,25.52941176,39.17647059,2.294117647,393.8235294,34.11764706,24.41176471,9.705882353,271.7058824,260.2941176,270.7647059,132.4117647,29.17647059,122.1176471,1.882352941,12.58823529,7.470588235,5.882352941,7.117647059,1,0.705882353,1.411764706,1.588235294,0.117647059,0.647058824,1.647058824,0.176470588,0.529411765,1.176470588,0.176470588
2021,1,ATL,REG,36,16,39,1,288,35,21,14,164,179,164,67,26,124,3,8,7,3,11,1,2,0,0,0,0,1,0,0,1,0,6,0,0,2,6,12,38,6,0,0,26,64,14,0.41,0.59,0,1,0,0,0,0,0,1,0,'0-1-0,0,179,179,21,0,35,4.5,5.114,0.743,1.129,0.6,0,0,4.69,0,4.69,5.11,7.81,0,4.77,82,0,0,452,5.51,36,16,39,1,288,35,21,14,164,179,164,67,26,124,3,8,7,3,11,1,2,0,0,0,0,1,0,0,1,0
2021,2,ATL,REG,43,11,50,1,355,45,35,10,300,186,300,187,21,55,2,15,2,6,9,1,3,1,2,0,3,1,0,0,1,0,27,12,2,1,8,5,49,4,0,0,21,70,15,0.3,0.7,0,0,0,0,1,0,0,2,0,'0-2-0,0,186,186,35,2,45,5.07,4.133,0.772,1.452,0.778,0.067,0.044,6.67,0.044,6.67,4.13,8.57,0.048,2.62,101,5,0.05,655,6.49,39.5,13.5,44.5,1,321.5,40,28,12,232,182.5,232,127,23.5,89.5,2.5,11.5,4.5,4.5,10,1,2.5,0.5,1,0,1.5,1,0,0,1,0
2021,3,ATL,REG,28,6,39,0,312,36,27,9,243,148,243,173,20,69,1,12,3,5,8,0,0,0,2,0,0,1,1,1,0,0,17,0,2,1,4,3,39,6,0,0,20,59,13,0.34,0.66,0,0,0,1,0,0,1,2,0,'1-2-0,0.333,148,148,27,2,36,5.29,4.111,0.614,1.161,0.75,0,0.056,6.75,0.056,6.75,4.11,9,0,3.45,83,4,0.05,555,6.69,35.66666667,11,42.66666667,0.666666667,318.3333333,38.66666667,27.66666667,11,235.6666667,171,235.6666667,142.3333333,22.33333333,82.66666667,2,11.66666667,4,4.666666667,9.333333333,0.666666667,1.666666667,0.333333333,1.333333333,0,1,1,0.333333333,0.333333333,0.666666667,0
2021,4,ATL,REG,42,9,44,1,382,42,25,17,283,440,283,89,28,99,4,15,6,10,6,0,0,0,4,0,0,1,0,1,0,1,30,0,3,1,7,6,43,4,0,1,28,72,15,0.39,0.6,0,1,0,0,0,0,1,3,0,'1-3-0,0.25,440,440,25,4,42,5.31,10.476,1.826,1.355,0.595,0,0.095,6.74,0.095,6.74,10.48,11.32,0,3.54,95,8,0.08,665,7,37.25,10.5,43,0.75,334.25,39.5,27,12.5,247.5,238.25,247.5,129,23.75,86.75,2.5,12.5,4.5,6,8.5,0.5,1.25,0.25,2,0,0.75,1,0.25,0.5,0.5,0.25
2021,5,ATL,REG,37,10,46,0,450,46,33,13,342,354,342,107,29,108,1,19,5,9,5,1,0,1,2,0,0,3,2,3,0,1,27,0,3,2,5,4,46,2,1,0,28,75,12,0.37,0.61,1,0,0,0,0,0,2,3,0,'2-3-0,0.4,354,354,33,2,46,6,7.696,1.469,1.484,0.717,0,0.043,7.43,0.043,7.43,7.7,10.36,0.034,3.72,108,5,0.05,792,7.33,37.2,10.4,43.6,0.6,357.4,40.8,28.2,12.6,266.4,261.4,266.4,124.6,24.8,91,2.2,13.8,4.6,6.6,7.8,0.6,1,0.4,2,0,0.6,1.4,0.6,1,0.4,0.4
2021,7,ATL,REG,37,3,42,1,408,39,25,14,336,368,336,80,22,72,0,15,5,6,7,0,0,1,2,0,1,1,1,1,0,0,30,0,3,3,5,1,41,3,2,0,20,63,14,0.32,0.65,0,0,0,1,0,0,3,3,0,'3-3-0,0.5,368,368,25,2,39,6.48,9.436,1.527,1.258,0.641,0.026,0.051,8.62,0.051,8.62,9.44,13.44,0.045,3.27,86,5,0.06,744,8.65,37.16666667,9.166666667,43.33333333,0.666666667,365.8333333,40.5,27.66666667,12.83333333,278,279.1666667,278,117.1666667,24.33333333,87.83333333,1.833333333,14,4.666666667,6.5,7.666666667,0.5,0.833333333,0.5,2,0,0.666666667,1.333333333,0.666666667,1,0.333333333,0.333333333
2021,8,ATL,REG,29,9,31,1,228,25,20,5,146,194,146,70,20,82,2,11,2,3,7,1,0,0,1,0,2,1,0,0,1,0,13,0,1,3,5,4,30,4,0,0,20,50,13,0.4,0.6,0,1,0,0,0,0,3,4,0,'3-4-0,0.429,194,194,20,1,25,4.56,7.76,0.805,0.806,0.8,0.08,0.04,5.84,0.04,5.84,7.76,7.3,0,4.1,65,2,0.03,374,5.75,36,9.142857143,41.57142857,0.714285714,346.1428571,38.28571429,26.57142857,11.71428571,259.1428571,267,259.1428571,110.4285714,23.71428571,87,1.857142857,13.57142857,4.285714286,6,7.571428571,0.571428571,0.714285714,0.428571429,1.857142857,0,0.857142857,1.285714286,0.571428571,0.857142857,0.428571429,0.285714286
2021,9,ATL,REG,33,14,35,3,377,30,23,7,343,262,343,150,25,34,3,14,2,5,8,0,1,1,2,0,0,2,0,2,0,0,27,0,3,2,6,3,32,5,2,0,23,57,16,0.4,0.56,0,0,0,1,0,0,4,4,0,'4-4-0,0.5,262,262,23,2,30,6.61,8.733,1.087,0.968,0.767,0,0.067,11.43,0.067,11.43,8.73,14.91,0.04,1.36,78,5,0.06,720,9.23,35.625,9.75,40.75,1,350,37.25,26.125,11.125,269.625,266.375,269.625,115.375,23.875,80.375,2,13.625,4,5.875,7.625,0.5,0.75,0.5,1.875,0,0.75,1.375,0.5,1,0.375,0.25
2021,10,ATL,REG,27,10,29,0,234,24,10,14,131,252,131,47,24,103,2,8,3,1,10,0,2,1,0,0,3,1,0,1,0,0,9,0,0,1,7,2,29,5,0,0,24,53,13,0.45,0.55,0,0,0,0,1,0,4,5,0,'4-5-0,0.444,252,252,10,0,24,4.42,10.5,1.046,0.774,0.417,0.125,0,5.46,0,5.46,10.5,13.1,0.042,4.29,58,1,0.02,365,6.29,34.66666667,9.777777778,39.44444444,0.888888889,337.1111111,35.77777778,24.33333333,11.44444444,254.2222222,264.7777778,254.2222222,107.7777778,23.88888889,82.88888889,2,13,3.888888889,5.333333333,7.888888889,0.444444444,0.888888889,0.555555556,1.666666667,0,1,1.333333333,0.444444444,1,0.333333333,0.222222222
2021,11,ATL,REG,33,11,36,0,198,28,20,8,158,189,158,62,16,40,2,7,3,2,9,1,1,0,0,0,4,0,0,0,0,0,1,6,0,1,6,5,36,5,0,0,16,52,12,0.31,0.69,0,1,0,0,0,0,4,6,0,'4-6-0,0.4,189,189,20,0,28,3.81,6.75,0.784,0.903,0.714,0.143,0,5.64,0,5.64,6.75,7.9,0,2.5,64,0,0,356,5.56,34.5,9.9,39.1,0.8,323.2,35,23.9,11.1,244.6,257.2,244.6,103.2,23.1,78.6,2,12.4,3.8,5,8,0.5,0.9,0.5,1.5,0,1.3,1.2,0.4,0.9,0.3,0.2
2021,12,ATL,REG,27,4,31,1,339,28,19,9,190,131,190,124,29,149,1,12,6,5,7,0,0,2,1,0,1,1,0,1,0,0,21,0,3,0,4,8,30,5,2,0,27,59,12,0.46,0.51,0,0,0,1,0,0,5,6,0,'5-6-0,0.455,131,131,19,1,28,5.75,4.679,0.544,0.903,0.679,0.036,0.036,6.79,0.036,6.79,4.68,10,0.069,5.14,76,4,0.05,529,6.96,33.81818182,9.363636364,38.36363636,0.818181818,324.6363636,34.36363636,23.45454545,10.90909091,239.6363636,245.7272727,239.6363636,105.0909091,23.63636364,85,1.909090909,12.36363636,4,5,7.909090909,0.454545455,0.818181818,0.636363636,1.454545455,0,1.272727273,1.181818182,0.363636364,0.909090909,0.272727273,0.181818182
2021,13,ATL,REG,45,12,47,1,418,41,30,11,297,253,298,143,23,121,0,14,5,9,8,0,0,1,0,0,0,4,1,1,3,0,11,0,2,1,6,5,46,5,0,0,23,69,14,0.33,0.67,0,1,0,0,0,0,5,7,0,'5-7-0,0.417,253,253,30,0,41,6.06,6.171,1.05,1.323,0.732,0,0,7.24,0,7.27,6.17,9.93,0.043,5.26,94,1,0.01,716,7.62,34.75,9.583333333,39.08333333,0.833333333,332.4166667,34.91666667,24,10.91666667,244.4166667,246.3333333,244.5,108.25,23.58333333,88,1.75,12.5,4.083333333,5.333333333,7.916666667,0.416666667,0.75,0.666666667,1.333333333,0,1.166666667,1.416666667,0.416666667,0.916666667,0.5,0.166666667
2021,14,ATL,REG,28,0,29,0,318,28,19,9,190,212,190,94,36,128,3,10,9,7,7,2,0,1,1,0,0,1,1,1,0,0,23,0,2,3,4,6,29,2,2,0,34,65,11,0.52,0.45,0,0,0,1,0,0,6,7,0,'6-7-0,0.462,212,212,19,1,28,4.89,7.571,0.88,0.903,0.679,0,0.036,6.79,0.036,6.79,7.57,10,0.028,3.56,83,3,0.04,508,6.12,34.23076923,8.846153846,38.30769231,0.769230769,331.3076923,34.38461538,23.61538462,10.76923077,240.2307692,243.6923077,240.3076923,107.1538462,24.53846154,91.07692308,1.846153846,12.30769231,4.461538462,5.461538462,7.846153846,0.538461538,0.692307692,0.692307692,1.307692308,0,1.076923077,1.384615385,0.461538462,0.923076923,0.461538462,0.153846154
2021,15,ATL,REG,35,4,39,4,298,32,19,13,236,254,236,57,23,62,1,8,3,5,8,0,3,0,1,0,0,1,1,1,0,0,13,0,1,2,6,7,35,2,0,0,23,58,11,0.4,0.6,0,0,0,0,1,0,6,8,0,'6-8-0,0.429,254,254,19,1,32,5.14,7.938,1.054,1.032,0.594,0,0.031,7.38,0.031,7.38,7.94,12.42,0,2.7,74,2,0.03,534,7.22,34.28571429,8.5,38.35714286,1,328.9285714,34.21428571,23.28571429,10.92857143,239.9285714,244.4285714,240,103.5714286,24.42857143,89,1.785714286,12,4.357142857,5.428571429,7.857142857,0.5,0.857142857,0.642857143,1.285714286,0,1,1.357142857,0.5,0.928571429,0.428571429,0.142857143
2021,16,ATL,REG,23,6,27,0,262,24,18,6,215,179,215,76,18,47,1,10,4,2,6,1,0,1,1,0,0,1,1,1,0,0,20,0,2,2,5,1,27,2,1,0,17,45,11,0.38,0.6,1,0,0,0,0,0,7,8,0,'7-8-0,0.467,179,179,18,1,24,5.82,7.458,0.743,0.774,0.75,0,0.042,8.96,0.042,8.96,7.46,11.94,0.056,2.61,60,3,0.05,477,7.95,33.53333333,8.333333333,37.6,0.933333333,324.4666667,33.53333333,22.93333333,10.6,238.2666667,240.0666667,238.3333333,101.7333333,24,86.2,1.733333333,11.86666667,4.333333333,5.2,7.733333333,0.533333333,0.8,0.666666667,1.266666667,0,0.933333333,1.333333333,0.533333333,0.933333333,0.4,0.133333333
2021,17,ATL,REG,27,5,30,2,293,23,13,10,197,201,197,144,22,96,2,9,7,1,6,0,1,1,0,1,0,2,1,2,0,0,13,0,1,2,6,5,28,4,0,0,22,50,13,0.44,0.56,0,0,0,0,1,0,7,9,0,'7-9-0,0.438,201,201,13,0,23,5.86,8.739,0.834,0.742,0.565,0,0,8.57,0,8.57,8.74,15.15,0.045,4.36,58,1,0.02,490,8.45,33.125,8.125,37.125,1,322.5,32.875,22.3125,10.5625,235.6875,237.625,235.75,104.375,23.875,86.8125,1.75,11.6875,4.5,4.9375,7.625,0.5,0.8125,0.6875,1.1875,0.0625,0.875,1.375,0.5625,1,0.375,0.125
2021,18,ATL,REG,34,12,37,1,278,32,20,12,216,341,216,63,12,62,0,9,3,3,7,2,1,1,1,0,1,3,2,3,0,1,20,0,2,2,7,3,36,2,0,0,12,48,13,0.25,0.75,0,1,0,0,0,0,7,10,0,'7-10-0,0.412,341,341,20,1,32,5.79,10.656,1.415,1.032,0.625,0.031,0.031,6.75,0.031,6.75,10.66,10.8,0.083,5.17,64,3,0.05,494,7.72,33.17647059,8.352941176,37.11764706,1,319.8823529,32.82352941,22.17647059,10.64705882,234.5294118,243.7058824,234.5882353,101.9411765,23.17647059,85.35294118,1.647058824,11.52941176,4.411764706,4.823529412,7.588235294,0.588235294,0.823529412,0.705882353,1.176470588,0.058823529,0.882352941,1.470588235,0.647058824,1.117647059,0.352941176,0.176470588
2021,1,BAL,REG,66,0,39,6,424,30,19,11,235,237,235,106,34,189,2,11,8,3,9,1,1,2,1,0,0,3,2,2,1,0,27,0,3,2,5,2,33,4,1,0,33,67,14,0.49,0.49,0,0,0,0,1,0,0,1,0,'0-1-0,0,237,237,19,1,30,6.33,7.9,0.687,0.938,0.633,0,0.033,7.83,0.033,7.83,7.9,12.37,0.059,5.56,83,4,0.05,659,7.94,66,0,39,6,424,30,19,11,235,237,235,106,34,189,2,11,8,3,9,1,1,2,1,0,0,3,2,2,1,0
2021,2,BAL,REG,69,1,29,1,490,24,18,6,239,247,239,119,41,251,3,11,18,6,5,1,0,4,1,0,2,1,0,1,0,0,37,6,3,1,6,8,28,2,1,1,40,70,12,0.57,0.4,1,0,0,0,0,0,1,1,0,'1-1-0,0.5,247,247,18,1,24,7,10.292,0.716,0.75,0.75,0.083,0.042,9.96,0.042,9.96,10.29,13.28,0.098,6.12,83,6,0.07,729,8.78,67.5,0.5,34,3.5,457,27,18.5,8.5,237,242,237,112.5,37.5,220,2.5,11,13,4.5,7,1,0.5,3,1,0,1,2,1,1.5,0.5,0
